#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
YO|C01||HHZ|33.665901|-75.118103|-3485.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.21589E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-04T23:59:59.0000
YO|C03||HH1|34.464901|-74.888802|-3246.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|C03||HH2|34.464901|-74.888802|-3246.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.27461E8|0.3|M/S|100.0|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|C03||HHZ|34.464901|-74.888802|-3246.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.21589E8|0.3|M/S|100.0|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|C04||HH1|34.879799|-74.6465|-3023.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|C04||HH2|34.879799|-74.6465|-3023.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.28299E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|C04||HHZ|34.879799|-74.6465|-3023.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.25783E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|C06||HH1|35.5061|-74.072601|-2933.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.27461E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|C06||HH2|35.5061|-74.072601|-2933.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|C06||HHZ|35.5061|-74.072601|-2933.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.21589E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|CHPH||BHE|35.259899|-75.548302|3.0|0.0|90.0|0.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-13T00:00:00.0000|2015-06-30T23:59:59.0000
YO|CHPH||BHN|35.259899|-75.548302|3.0|0.0|0.0|0.0|Nanometrics trillium_compact (standard and post-ho|4.71409E8|0.2|M/S|50.0|2014-05-13T00:00:00.0000|2015-06-30T23:59:59.0000
