#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
XO|KK50|36.8694|-84.802399|306.0|KK50 of OIINK Flexarray|2014-03-14T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KK52|36.8372|-84.509102|398.0|KK52 of OIINK Flexarray|2014-03-13T00:00:00.0000|2015-10-18T23:59:59.0000
XO|LB26|38.512199|-87.970497|129.8|LB26 of OIINK Flexarray|2012-09-09T00:00:00.0000|2013-10-22T23:59:59.0000
XO|LC25|38.322399|-87.988197|143.1|LC25 of OIINK Flexarray|2012-09-09T00:00:00.0000|2013-10-23T23:59:59.0000
XO|NB28|38.414799|-87.6073|144.6|NB28 of OIINK Flexarray|2012-10-15T00:00:00.0000|2013-11-19T23:59:59.0000
XO|NC27|38.2883|-87.754402|137.3|NC27 of OIINK Flexarray|2012-10-15T00:00:00.0000|2014-02-22T23:59:59.0000
XO|NC29|38.318199|-87.502998|139.3|NC29 of OIINK Flexarray|2012-11-09T00:00:00.0000|2014-02-22T23:59:59.0000
XO|NC31|38.3512|-87.221901|153.0|NC31 of OIINK Flexarray|2013-11-19T00:00:00.0000|2015-03-16T23:59:59.0000
XO|NC33|38.318001|-87.023804|161.0|NC33 of OIINK Flexarray|2013-07-29T00:00:00.0000|2015-05-05T23:59:59.0000
XO|ND26|38.219601|-87.920303|145.3|ND26 of OIINK Flexarray|2012-09-08T00:00:00.0000|2013-10-23T23:59:59.0000
XO|ND28|38.078701|-87.683899|168.3|ND28 of OIINK Flexarray|2012-10-28T00:00:00.0000|2014-02-22T23:59:59.0000
XO|ND30|38.121498|-87.279297|153.0|ND30 of OIINK Flexarray|2013-07-30T00:00:00.0000|2015-05-05T23:59:59.0000
XO|ND32|38.166199|-87.063797|132.0|ND32 of OIINK Flexarray|2013-07-30T00:00:00.0000|2015-05-05T23:59:59.0000
XO|NE27|37.966|-87.822601|125.0|NE27 of OIINK Flexarray|2013-07-29T00:00:00.0000|2015-05-07T23:59:59.0000
XO|NE29|38.045502|-87.418999|126.0|NE29 of OIINK Flexarray|2013-07-30T00:00:00.0000|2015-05-07T23:59:59.0000
XO|NE31|37.9743|-87.172699|119.0|NE31 of OIINK Flexarray|2013-07-30T00:00:00.0000|2015-05-07T23:59:59.0000
XO|NE33|38.040798|-86.877998|127.0|NE33 of OIINK Flexarray|2013-08-01T00:00:00.0000|2015-05-05T23:59:59.0000
XO|NF32|37.841999|-87.121597|137.0|NF32 of OIINK Flexarray|2013-07-30T00:00:00.0000|2015-05-07T23:59:59.0000
XO|SOKY|37.5256|-85.961899|256.0|SOKY of OIINK Flexarray|2013-11-06T00:00:00.0000|2015-10-16T23:59:59.0000
XQ|NC01|35.622101|-79.200996|107.0|NC01|2012-03-26T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC02|35.562099|-79.468597|147.0|NC02|2012-03-26T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC03|35.5373|-79.303802|100.0|NC03|2012-03-25T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC04|35.554001|-79.242401|92.0|NC04|2012-03-25T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC05|35.5336|-79.201401|98.0|NC05|2012-03-26T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC06|35.5256|-79.016899|84.0|NC06|2012-04-07T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC07|35.470001|-79.379898|99.0|NC07|2012-03-25T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC08|35.4678|-79.313103|106.0|NC08|2012-03-27T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC09|35.4505|-79.281898|121.0|NC09|2012-03-26T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC10|35.472099|-79.217903|123.0|NC10|2012-03-25T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC11|35.407299|-79.283203|155.0|NC11|2012-03-26T00:00:00.0000|2014-12-31T23:59:59.0000
XQ|NC12|35.384701|-79.2435|136.0|NC12|2012-03-27T00:00:00.0000|2014-12-31T23:59:59.0000
XR|EC01|33.7756|-82.485397|151.0|Lincolnton, GA|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|EC02|33.7752|-82.485497|159.0|Lincolnton, GA|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|EC03|33.7752|-82.486|146.0|Lincolnton, GA|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|EC04|33.7757|-82.485901|142.0|Lincolnton, GA|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|EC05|33.773399|-82.485001|132.0|Lincolnton, GA|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|EC06|33.771801|-82.486099|140.0|Lincolnton, GA|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|FA02|31.173176|-83.534363|39.0|fled station 2|2001-05-16T19:45:35.0000|2002-12-31T23:59:59.0000
XR|FA03|32.054916|-84.215233|89.0|fled station 3|2001-05-14T18:29:17.0000|2002-12-31T23:59:59.0000
XR|FA04|32.751015|-84.920647|175.0|fled station 4|2001-05-14T22:34:08.0000|2002-12-31T23:59:59.0000
XR|FA05|33.572838|-85.109482|303.0|fled station 5|2001-05-15T20:59:38.0000|2002-12-31T23:59:59.0000
XR|FA06|33.98481|-85.992371|134.0|fled station 6|2001-05-12T19:44:41.0000|2002-12-31T23:59:59.0000
XR|FA07|34.731232|-86.710449|178.0|fled station 7|2001-05-11T20:08:53.0000|2002-12-31T23:59:59.0000
XR|HH01|33.451801|-81.767097|130.0|Aiken, SC|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|HH02|33.451401|-81.767303|135.0|Aiken, SC|2013-12-20T00:00:00.0000|2014-06-04T23:59:59.0000
XR|HH03|33.451599|-81.767799|127.0|Aiken, SC|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|HH04|33.4519|-81.767601|129.0|Aiken, SC|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|HH05|33.452301|-81.769997|134.0|Aiken, SC|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|HH06|33.450298|-81.770897|138.0|Aiken, SC|2013-11-27T00:00:00.0000|2014-06-04T23:59:59.0000
XR|ST01|33.734402|-82.153397|127.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST02|33.7346|-82.152901|129.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST03|33.734699|-82.152603|125.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST04|33.735298|-82.151604|132.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-06-21T23:59:59.0000
XR|ST05|33.737099|-82.1493|119.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST06|33.734402|-82.152702|131.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST08|33.734501|-82.1502|122.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST09|33.733601|-82.146797|103.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST10|33.7341|-82.153|138.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST11|33.7337|-82.152702|135.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST12|33.7337|-82.1521|132.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST13|33.730099|-82.149803|116.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XR|ST88|33.734501|-82.151299|128.0|Modoc, SC|2013-04-12T00:00:00.0000|2013-07-12T23:59:59.0000
XU|DEB|34.411301|-85.635498|427.0|east of Fort Payne, AL|2003-04-29T00:00:00.0000|2003-06-06T23:59:59.0000
XU|FISH|34.461601|-85.641197|501.0|northeast of Fort Payne, AL|2003-04-29T00:00:00.0000|2003-06-06T23:59:59.0000
XU|HOWA|34.5093|-85.609596|448.0|south of Valley Head, AL|2003-04-29T00:00:00.0000|2003-06-06T23:59:59.0000
XU|JIM|34.4748|-85.525902|497.0|west of Menlo, AL|2003-04-29T00:00:00.0000|2003-06-06T23:59:59.0000
XU|LARR|34.459202|-85.586601|419.0|northeast of Fort Payne, AL|2003-04-29T00:00:00.0000|2003-06-06T23:59:59.0000
XU|PAYN|34.500599|-85.687599|281.0|north of Fort Payne, AL|2003-04-29T00:00:00.0000|2003-06-06T23:59:59.0000
XY|JOSH|37.874802|-77.9673|128.0|Moore residence - Mineral, VA|2011-08-25T00:00:00.0000|2011-10-17T23:59:59.0000
XY|KEVN|37.8755|-77.931503|102.0|Harding residence - Mineral, VA|2011-08-25T00:00:00.0000|2011-10-16T23:59:59.0000
XZ|FR03|36.180439|-75.749962|4.0|Duck, NC|2015-10-08T00:00:00.0000|2015-10-16T23:59:59.0000
XZ|FR04|36.180229|-75.749863|4.0|Duck, NC|2015-10-08T00:00:00.0000|2015-10-16T23:59:59.0000
XZ|FR05|36.180038|-75.749809|4.0|Duck, NC|2015-10-08T00:00:00.0000|2015-10-16T23:59:59.0000
XZ|FR06|36.17992|-75.749748|4.0|Duck, NC|2015-10-08T00:00:00.0000|2015-10-16T23:59:59.0000
XZ|FR07|36.179729|-75.749657|4.0|Duck, NC|2015-10-08T00:00:00.0000|2015-10-16T23:59:59.0000
XZ|WV04|36.180481|-75.749947|4.0|Duck, NC|2015-09-29T00:00:00.0000|2015-10-08T23:59:59.0000
XZ|WV05|36.18042|-75.749939|4.0|Duck, NC|2015-09-29T00:00:00.0000|2015-10-08T23:59:59.0000
XZ|WV06|36.180321|-75.749878|4.0|Duck, NC|2015-09-29T00:00:00.0000|2015-10-08T23:59:59.0000
XZ|WV07|36.180229|-75.749863|4.0|Duck, NC|2015-09-29T00:00:00.0000|2015-10-08T23:59:59.0000
XZ|WV08|36.180161|-75.74984|4.0|Duck, NC|2015-09-29T00:00:00.0000|2015-10-08T23:59:59.0000
Y3|AUD|39.4231|-75.365799|22.0|AUD|2017-12-01T00:00:00.0000|2018-01-11T23:59:59.0000
Y3|DVB1|38.9944|-75.425301|1.0|DVB1|2017-12-01T00:00:00.0000|2018-01-11T23:59:59.0000
Y3|DVB2|39.178799|-75.434898|4.0|DVB2|2017-12-01T00:00:00.0000|2018-01-11T23:59:59.0000
